place_name,province,description,source_url,source
"Top things to do in
Hoi An",Hoi An,"Hoi An is a place where the bold march of progress peters into a leisurely amble. In this one-time trading port, the Thu Bon River meanders past crumbling shop houses and weathered pagodas, while sampans come and go from the old ferry quay. Outside the Old Town, two-lane roads slice through waving r",https://vietnam.travel/places-to-go/central-vietnam/hoi-an,vietnam.travel
Da Lat,Da Lat,"Hidden away in the Central Highlands, Da Lat plays the cooler cousin to Vietnam's seaside destinations. Famous for its countryside charm, Da Lat draws couples, wellness seekers and outdoor enthusiasts. This mountain resort town was once a summer getaway for the French, who left their mark in the Eur",https://vietnam.travel/places-to-go/central-vietnam/dalat,vietnam.travel
"Top things to do in
Da Lat",Da Lat,"Hidden away in the Central Highlands, Da Lat plays the cooler cousin to Vietnam's seaside destinations. Famous for its countryside charm, Da Lat draws couples, wellness seekers and outdoor enthusiasts. This mountain resort town was once a summer getaway for the French, who left their mark in the Eur",https://vietnam.travel/places-to-go/central-vietnam/dalat,vietnam.travel
Nha Trang,Nha Trang,"Perched on a pristine stretch of the southern coast, Nha Trang is a playground for sunseekers. Days here are spent dining on delicious seafood, snorkelling around stunning islands, and partying on the sand after dark. Nha Trang lays claim to some of the country's finest luxury resorts and thrilling ",https://vietnam.travel/places-to-go/central-vietnam/nha-trang,vietnam.travel
Top things to do in Nha Trang,Nha Trang,"Perched on a pristine stretch of the southern coast, Nha Trang is a playground for sunseekers. Days here are spent dining on delicious seafood, snorkelling around stunning islands, and partying on the sand after dark. Nha Trang lays claim to some of the country's finest luxury resorts and thrilling ",https://vietnam.travel/places-to-go/central-vietnam/nha-trang,vietnam.travel
Phong Nha,Phong Nha,"Not long ago the sleepy village of Phong Nha barely got a mention in guidebooks, but the surprise discovery of one of the world's largest caves has catapulted it into the adventure tourism spotlight. The Phong Nha-Kẻ Bàng National Park is a rugged swathe of limestone mountains riddled with gigantic ",https://vietnam.travel/places-to-go/central-vietnam/phong-nha,vietnam.travel
Top things to do in Phong Nha,Phong Nha,"Not long ago the sleepy village of Phong Nha barely got a mention in guidebooks, but the surprise discovery of one of the world's largest caves has catapulted it into the adventure tourism spotlight. The Phong Nha-Kẻ Bàng National Park is a rugged swathe of limestone mountains riddled with gigantic ",https://vietnam.travel/places-to-go/central-vietnam/phong-nha,vietnam.travel
Ho Chi Minh,Ho Chi Minh,"Vibrating with energy, innovation and traffic – lots of traffic – Ho Chi Minh City, formerly known as Saigon, is the economic heart of Vietnam and the main hub of the southern region. A freewheeling, cosmopolitan metropolis, HCMC's dynamic cityscape draws together old and new Vietnam in the most compact of spaces, representing the city’s past as well as its future. This city has many well-known at",https://vietnam.travel/places-to-go/southern-vietnam/ho-chi-minh-city,vietnam.travel
Ho Chi Minh City,Ho Chi Minh,"Vibrating with energy, innovation and traffic – lots of traffic – Ho Chi Minh City, formerly known as Saigon, is the economic heart of Vietnam and the main hub of the southern region. A freewheeling, cosmopolitan metropolis, HCMC's dynamic cityscape draws together old and new Vietnam in the most com",https://vietnam.travel/places-to-go/southern-vietnam/ho-chi-minh-city,vietnam.travel
Top things to do in Ho Chi Minh City,Ho Chi Minh,"Vibrating with energy, innovation and traffic – lots of traffic – Ho Chi Minh City, formerly known as Saigon, is the economic heart of Vietnam and the main hub of the southern region. A freewheeling, cosmopolitan metropolis, HCMC's dynamic cityscape draws together old and new Vietnam in the most com",https://vietnam.travel/places-to-go/southern-vietnam/ho-chi-minh-city,vietnam.travel
Phu Quoc,Phu Quoc,"Phu Quoc's gleaming white sand beaches have earned it the nickname
Pearl Island
, but the island's environmental conservation efforts and cultural heritage deserve as much attention as its picturesque sand and surf. Fishing and agriculture remain primary industries, and more than half the laid-back ",https://vietnam.travel/places-to-go/southern-vietnam/phu-quoc,vietnam.travel
Phu Quoc's Beaches & Nature,Phu Quoc,"Phu Quoc's gleaming white sand beaches have earned it the nickname
Pearl Island
, but the island's environmental conservation efforts and cultural heritage deserve as much attention as its picturesque sand and surf. Fishing and agriculture remain primary industries, and more than half the laid-back ",https://vietnam.travel/places-to-go/southern-vietnam/phu-quoc,vietnam.travel
Con Dao,Con Dao,"A tiny archipelago off the southern coast, only a small number of travellers wind up in Con Dao. Though the trip requires extra effort, those who commit to the journey are rewarded with some of the country's most blissful beaches and best snorkelling. Much of the island is covered by the Con Dao Nat",https://vietnam.travel/places-to-go/southern-vietnam/con-dao,vietnam.travel
Top things to do in Con Dao,Con Dao,"A tiny archipelago off the southern coast, only a small number of travellers wind up in Con Dao. Though the trip requires extra effort, those who commit to the journey are rewarded with some of the country's most blissful beaches and best snorkelling. Much of the island is covered by the Con Dao Nat",https://vietnam.travel/places-to-go/southern-vietnam/con-dao,vietnam.travel
Places to go,,,https://vietnam.travel/place-to-go,vietnam.travel
Mai Chau,,,https://vietnam.travel/places-to-go/northern-vietnam/mai-chau,vietnam.travel
Central Vietnam,,,https://vietnam.travel/places-to-go/central-vietnam,vietnam.travel
Southern Vietnam,,,https://vietnam.travel/places-to-go/southern-vietnam,vietnam.travel
Binh Thuan,,,https://vietnam.travel/places-to-go/southern-vietnam/binh-thuan,vietnam.travel
Can Tho,,,https://vietnam.travel/places-to-go/southern-vietnam/can-tho,vietnam.travel
Chau Doc,,,https://vietnam.travel/places-to-go/southern-vietnam/chau-doc,vietnam.travel
NORTHERN VIETNAM,,,https://vietnam.travel/places-to-go/northern-vietnam,vietnam.travel
CENTRAL VIETNAM,,,https://vietnam.travel/places-to-go/central-vietnam,vietnam.travel
SOUTHERN VIETNAM,,,https://vietnam.travel/places-to-go/southern-vietnam,vietnam.travel
Nature,,,https://vietnam.travel/things-to-do/nature,vietnam.travel
Culture,,,https://vietnam.travel/things-to-do/culture,vietnam.travel
Cities,,,https://vietnam.travel/things-to-do/cities,vietnam.travel
Beaches,,,https://vietnam.travel/things-to-do/beaches,vietnam.travel
Adventure,,,https://vietnam.travel/things-to-do/adventure,vietnam.travel
Wellness,,,https://vietnam.travel/things-to-do/wellness,vietnam.travel
Family,,,https://vietnam.travel/things-to-do/family,vietnam.travel
Luxury,,,https://vietnam.travel/things-to-do/luxury,vietnam.travel
"3rd Ho Chi Minh City River Festival 2026
01 Apr 2026 - 30 Apr 2026",,,https://vietnam.travel/things-to-do/festival-event/3rd-ho-chi-minh-city-river-festival-2026?month=apr&year=2026,vietnam.travel
"VITM Hanoi 2026 - Vietnam International Travel Mart
10 Apr 2026 - 12 Apr 2026",,,https://vietnam.travel/things-to-do/festival-event/vitm-hanoi-2026-vietnam-international-travel-mart?month=apr&year=2026,vietnam.travel
"Ha Long Carnival 2026
25 Apr 2026 - 03 May 2026",,,https://vietnam.travel/things-to-do/festival-event/ha-long-carnival-2026?month=apr&year=2026,vietnam.travel
Things to do,,,https://vietnam.travel/places-to-go/northern-vietnam/ha-long,vietnam.travel
Gia Lai Travel Guide: A Culinary Journey,,,https://vietnam.travel/things-to-do/gia-lai-travel-guide-culinary-journey,vietnam.travel
"Five-colour sticky rice, the quintessence of Vietnamese cuisine",,,https://vietnam.travel/things-to-do/five-colour-sticky-rice-quintessence-vietnamese-cuisine,vietnam.travel
Local unpacked: One of a kind cuisine of Ha Giang karst plateau,,,https://vietnam.travel/things-to-do/local-unpacked-one-kind-cuisine-ha-giang-karst-plateau,vietnam.travel
Gia Lai: The Symphony of mountains and sea,,,https://vietnam.travel/things-to-do/gia-lai-symphony-mountains-and-sea,vietnam.travel
Into the charming misty town of Pleiku,,,https://vietnam.travel/things-to-do/charming-misty-town-pleiku,vietnam.travel
Lost in lotus land,,,https://vietnam.travel/things-to-do/lost-lotus-land,vietnam.travel
"[Infographic] Visa exemption for citizens of Poland, Czech and Switzerland",,,https://vietnam.travel/things-to-do/infographic-visa-exemption-citizens-poland-czech-and-switzerland,vietnam.travel
Tea Factory 1927: the living witness to the development of Vietnam's tea industry,,,https://vietnam.travel/things-to-do/tea-factory-1927-living-witness-development-vietnams-tea-industry,vietnam.travel
Wander the ancient traditional silk villages of Vietnam,,,https://vietnam.travel/things-to-do/wander-ancient-traditional-silk-villages-vietnam,vietnam.travel
Vietnam’s New Provincial System: 34 Names You Should Know,,,https://vietnam.travel/things-to-do/vietnam’s-new-provincial-system-34-names-you-should-know,vietnam.travel
10 Tourist spots not to be missed in Ho Chi Minh City,,,https://vietnam.travel/things-to-do/10-tourist-spots-not-be-missed-ho-chi-minh-city,vietnam.travel
Enjoy bus rides back and forth between T1 and T2 Noi Bai International Airport free of charge!,,,https://vietnam.travel/things-to-do/enjoy-bus-rides-back-and-forth-between-t1-and-t2-noi-bai-international-airport-free,vietnam.travel
A green sanctuary for slow living souls at Whale Island Resort,,,https://vietnam.travel/things-to-do/green-sanctuary-slow-living-souls-whale-island-resort,vietnam.travel
Hon Ong Island: a secluded coral haven in Van Phong Bay,,,https://vietnam.travel/things-to-do/hon-ong-island-secluded-coral-haven-van-phong-bay,vietnam.travel
"Phu Quoc Island: A Laid back, Leisure Getaway",,,https://vietnam.travel/things-to-do/phu-quoc-island-laid-back-leisure-getaway,vietnam.travel
Vietnam's magical Mid-autumn Festival,,,https://vietnam.travel/things-to-do/vietnams-magical-mid-autumn-festival,vietnam.travel
Top 10 festivals & holidays in Vietnam,,,https://vietnam.travel/things-to-do/top-festivals-vietnam,vietnam.travel
A traveller's guide to Tet holiday,,,https://vietnam.travel/things-to-do/tet-vietnam-lunar-new-year,vietnam.travel
Persimmons Garden - “Green” travel spots in Da Lat,,,https://vietnam.travel/things-to-do/persimmons-garden-“green”-travel-spots-da-lat,vietnam.travel
Vietnam - The nature wonder of Asia,,,https://vietnam.travel/things-to-do/vietnam-nature-wonder-asia,vietnam.travel
Go green in Co To,,,https://vietnam.travel/things-to-do/go-green-co,vietnam.travel
Ru Cha Mangrove Forest: A sleeping beauty of Hue,,,https://vietnam.travel/things-to-do/ru-cha-mangrove-forest-sleeping-beauty-hue,vietnam.travel
Lost in green wonderland in Tra Su Cajuput Forest,,,https://vietnam.travel/things-to-do/lost-green-wonderland-tra-su-cajuput-forest,vietnam.travel
Phong Nha - Ke Bang National Park: Beyond the home of the World’s largest cave,,,https://vietnam.travel/things-to-do/phong-nha-ke-bang-national-park-beyond-home-world’s-largest-cave,vietnam.travel
Virtual travel to Trang An Landscape Complex,,,https://vietnam.travel/things-to-do/virtual-travel-trang-an-landscape-complex,vietnam.travel
Vietnam - A rising star for event and wedding tourism,,,https://vietnam.travel/things-to-do/vietnam-rising-star-event-and-wedding-tourism,vietnam.travel
Big News! Vietnam approves extending e-visas to 90 days,,,https://vietnam.travel/things-to-do/big-news-vietnam-approves-extending-e-visas-90-days,vietnam.travel
Moc Chau: Your One-Stop Nature Escape,,,https://vietnam.travel/things-to-do/moc-chau-your-one-stop-nature-escape,vietnam.travel
A guide to the boat tours of Ninh Binh,,,https://vietnam.travel/things-to-do/guide-boat-tours-ninh-binh,vietnam.travel
Sacred Night - Unbroken Vietnamese Spirit: A Prisoner’s Life at Hoa Lo,,,https://vietnam.travel/things-to-do/prisoner-life-at-hoa-lo,vietnam.travel
"Nature, Culture, and Adventure on Vietnam’s Top 5 Beach Islands",,,https://vietnam.travel/things-to-do/nature-culture-and-adventure-vietnam-top-5-beach-islands,vietnam.travel
Sunset in Phu Quoc,,,https://vietnam.travel/things-to-do/sunset-in-phu-quoc,vietnam.travel
The Unesco Kien Giang biosphere reserve,,,https://vietnam.travel/things-to-do/the-unesco-kien-giang-biosphere-reserve,vietnam.travel
7 sensational swimming pools in Vietnam,,,https://vietnam.travel/things-to-do/amazing-swimming-pools-vietnam,vietnam.travel
5 ways to enjoy Vung Tau as a family,,,https://vietnam.travel/things-to-do/vung-tau-family-holiday,vietnam.travel
5 favourite beach bars in Vietnam,,,https://vietnam.travel/things-to-do/favourite-beach-bars-vietnam,vietnam.travel
Trekking in Hoang Su Phi: a spectacular journey through terraced rice fields and seas of clouds,,,https://vietnam.travel/things-to-do/trekking-hoang-su-phi-spectacular-journey-through-terraced-rice-fields-and-seas-clouds,vietnam.travel
Special daily tours at the Grand Prix of Binh Dinh 2024,,,https://vietnam.travel/things-to-do/special-daily-tours-grand-prix-binh-dinh-2024,vietnam.travel
Binh Thuan: Explore the Great Outdoors,,,https://vietnam.travel/things-to-do/binh-thuan-explore-great-outdoors,vietnam.travel
Nha Trang’s Most Instagrammable Spots in 2022,,,https://vietnam.travel/things-to-do/nha-trang-most-instagrammable-spots-2022,vietnam.travel
Visitors can now “LIVE FULLY IN VIETNAM” quarantine free,,,https://vietnam.travel/things-to-do/visitors-can-now-live-fully-vietnam-quarantine-free,vietnam.travel
What to Do in Ha Long Bay,,,https://vietnam.travel/things-to-do/what-to-do-in-ha-long-bay,vietnam.travel
Where to go when island-hopping around Nha Trang,,,https://vietnam.travel/things-to-do/where-to-go-when-island-hopping-around-nha-trang,vietnam.travel
Experience the feeling of living at a heritage site,,,https://vietnam.travel/things-to-do/experience-the-feeling-of-living-at-a-heritage-site,vietnam.travel
Experience Nha Trang like a local,,,https://vietnam.travel/things-to-do/experience-nha-trang-like-a-local,vietnam.travel
